subset,subset_size,entropy_bits,min_cut_bits,absolute_deviation
0,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,1,1,1,0
01,2,2,2,2.22044604925e-16
02,2,2,2,2.22044604925e-16
03,2,2,2,2.22044604925e-16
04,2,2,2,2.22044604925e-16
05,2,2,2,2.22044604925e-16
12,2,2,2,2.22044604925e-16
13,2,2,2,2.22044604925e-16
14,2,2,2,2.22044604925e-16
15,2,2,2,2.22044604925e-16
23,2,2,2,2.22044604925e-16
24,2,2,2,2.22044604925e-16
25,2,2,2,2.22044604925e-16
34,2,2,2,2.22044604925e-16
35,2,2,2,2.22044604925e-16
45,2,2,2,2.22044604925e-16
012,3,3,3,4.4408920985e-16
013,3,3,3,4.4408920985e-16
014,3,3,3,8.881784197e-16
015,3,3,3,4.4408920985e-16
023,3,3,3,8.881784197e-16
024,3,3,3,4.4408920985e-16
025,3,3,3,4.4408920985e-16
034,3,3,3,4.4408920985e-16
035,3,3,3,8.881784197e-16
045,3,3,3,4.4408920985e-16
123,3,3,3,4.4408920985e-16
124,3,3,3,4.4408920985e-16
125,3,3,3,4.4408920985e-16
134,3,3,3,4.4408920985e-16
135,3,3,3,4.4408920985e-16
145,3,3,3,4.4408920985e-16
234,3,3,3,4.4408920985e-16
235,3,3,3,4.4408920985e-16
245,3,3,3,4.4408920985e-16
345,3,3,3,4.4408920985e-16
